Song,Artist,State,Lat,Long,Song_Release_Year,Song_Release_Month
Movin' Out (Anthony's Song),['Billy Joel'],New York,40.7128,-74.006,1977,August
Mary Jane's Last Dance,['Tom Petty and the Heartbreakers'],Florida,27.0,81.0,1993,October
Bennie And The Jets - Remastered 2014,['Elton John'],United Kingdom,51.5074,-0.1278,'2014','March'
Life in the Fast Lane - 2013 Remaster,['Eagles'],California,36.0,-119.0,2013,September
Crocodile Rock,['Elton John'],United Kingdom,52.0,-1.0,1972,October
Uptown Girl,['Billy Joel'],New York,41.0,74.0,1983,September
Up Around The Bend,['Creedence Clearwater Revival'],California,38.0,-121.0,1970,April
Rich Girl,['Daryl Hall & John Oates'],Pennsylvania,39.0,-77.0,1977,March
Dust in the Wind,['Kansas'],Kansas,38.0,-98.0,1978,January
Turn to Stone,['Electric Light Orchestra'],England,52.0,-1.0,1977,October
Show Me The Way,['Peter Frampton'],United Kingdom,53.0,-2.0,1975,June
Black Dog - Remaster,['Led Zeppelin'],England,50.0,-4.0,2014,December
Reelin' In The Years,['Steely Dan'],New York,41.0,-74.0,1972,March
Roxanne,['The Police'],England,51.509865,-0.118092,1978,November
More Than a Feeling,['Boston'],Massachusetts,42.0,-71.0,1976,September
If I Ain't Got You,['Alicia Keys'],New York,40.0,-74.0,2004,January
Blunt Blowin,['Lil Wayne'],Louisiana,30.0,-91.0,2011,September
Let The Drummer Kick,['Citizen Cope'],Washington DC,38.0,-77.0,2002,August
Laugh Now Cry Later (feat. Lil Durk),"['Drake', 'Lil Durk']",Canada,45.0,-75.0,2020,August
Tiburon,['Proyecto Uno'],Dominican Republic,18.0,-70.0,1994,August
I Pray For You (feat. Labrinth & MALICE),"['Pusha T', 'No Malice', 'Clipse', 'Labrinth']",Virginia,38.0,-77.0,2018,August
Dile,['Don Omar'],Puerto Rico,18.0,-66.0,2004,April
Purity (feat. Frank Ocean),"['A$AP Rocky', 'Frank Ocean']",New York,40.0,74.0,2015,April
"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)","['A$AP Rocky', 'Rod Stewart', 'Miguel', 'Mark Ronson']",New York,40.0,74.0,2015,June
Saturday Sun,['Vance Joy'],Australia,-27.0,133.0,2017,October
Colorado,['Kota the Friend'],New York,40.0,-74.0,2019,June
Saturday Night’s Alright (For Fighting) - Remastered 2014,['Elton John'],England,51.0,-0.0,2014,August
Midnight Blues,"['Snowy White', 'The White Flames']",England,51.5074,-0.1278,1984,December
Get Down Tonight,['KC & The Sunshine Band'],Florida,27.0,81.0,1975,August
True Love,"['Kanye West', 'XXXTENTACION']",Illinois,41.0,-87.0,2012,September
Reborn,['KIDS SEE GHOSTS'],Ohio,41.6796,-83.4345,2018,June
Zumba,['Don Omar'],Puerto Rico,18.0,66.0,2012,January
Biking,"['Frank Ocean', 'JAY-Z', 'Tyler, The Creator']",California,34.0,-118.0,2017,May
U Don't Know,['JAY-Z'],New York,40.0,-74.0,2001,November
Loose Change (feat. Earl Sweatshirt),"['The Alchemist', 'Earl Sweatshirt']",California,34.0,-118.0,2018,March
"Something to Rap About (feat. Tyler, The Creator)","['Freddie Gibbs', 'The Alchemist', 'Tyler, The Creator']",Indiana,39.8647,-86.2604,2020,May
Jukebox Joints (feat. Joe Fox & Kanye West),"['A$AP Rocky', 'Joe Fox', 'Kanye West']",New York,40.0,-74.0,'2015','May'
"327 (feat. Tyler, The Creator & Billie Essco)","['Westside Gunn', 'Joey Bada$$', 'Tyler, The Creator', 'Billie Essco']",New York,42.0,74.0,2022,Not Available
Excuse Me,['A$AP Rocky'],New York,40.0,74.0,2015,August
435,"['Tyler, The Creator']",California,37.0,-120.0,2011,April
GROUP B,"['Tyler, The Creator']",California,34.0,-118.0,2011,April
The Question,"['Mac Miller', 'Lil Wayne']",Pennsylvania,40.0,-77.0,2012,August
The Count (feat. Wiz Khalifa),"['Curren$y', 'Harry Fraud', 'Wiz Khalifa']",Louisiana,30.0,-91.0,2011,August
E. Coli (feat. Earl Sweatshirt),"['The Alchemist', 'Earl Sweatshirt']",California,37.7749,-122.4194,2020,August
Wells Fargo (with JID & EARTHGANG feat. Buddy & Guapdad 4000) - Interlude,"['Dreamville', 'JID', 'EARTHGANG', 'Buddy', 'Guapdad 4000']",California,36.0,-119.0,2019,July
"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)","['Dreamville', 'JID', 'Bas', 'J. Cole', 'EARTHGANG', 'Young Nudy']",North Carolina,36.0,-79.0,2019,June
Under The Sun (with J. Cole & Lute feat. DaBaby),"['Dreamville', 'J. Cole', 'Lute', 'DaBaby']",North Carolina,35.0,80.0,2019,January
Thoughts from a Balcony,['Mac Miller'],Pennsylvania,40.9946,-77.6045,2012,April
Praise The Lord (Da Shine) (feat. Skepta),"['A$AP Rocky', 'Skepta']",New York,40.0,-74.0,2018,May
LOVE. FEAT. ZACARI.,"['Kendrick Lamar', 'Zacari']",California,0,0,N/A,N/A
90210 (feat. Kacy Hill),"['Travis Scott', 'Kacy Hill']",Texas,30.0,-97.0,2014,June
Wraith,"['Chance the Rapper', 'VIC MENSA', 'Smoko Ono']",Illinois,41.0,87.0,2013,July
El Querreque,['Trio Chicontepec'],Mexico,20.0,-100.0,2018,September
Scooby Doo Papa,['LA TROPA ESTRELLA'],Mexico,22.0,-102.0,2017,October
Mi Guajira (Guajira Son),['Eddie Palmieri'],New York,-74.0,41.0,1965,April
Happy Feelin',"['Earth, Wind & Fire']",Japan,36.0,138.0,1975,September
Tongue Power,['Roy Ayers Ubiquity'],United States,34.0,-118.0,1974,February
Wizard Of Finance,['Parliament'],Ohio,39.9612,-82.9988,1967,January
Ven Devórame Otra Vez,['Lalo Rodriguez'],Puerto Rico,18.0,66.0,1989,July
La Negra Tiene Tumbao,['Celia Cruz'],Cuba,21.0,-80.0,2001,June
Jazz,['Mick Jenkins'],Illinois,41.0,-87.0,'2018','June'
Mental [Feat. Saul Williams & Bridget Perez],"['Denzel Curry', 'Saul Williams', 'Bridget Perez']",Florida,30.0,-84.0,2021,May
The Last,['Denzel Curry'],Florida,28.5383,81.3792,2018,May
Walkin,['Denzel Curry'],Florida,27.0,81.0,2021,November
Melt Session #1 [Feat. Robert Glasper],"['Denzel Curry', 'Robert Glasper']",Florida,28.0,-81.0,2016,February
Fireman,['Lil Wayne'],Louisiana,30.0,91.0,2005,March
SIRENS | Z1RENZ [FEAT. J.I.D | J.1.D],"['Denzel Curry', 'JID']",Florida,27.0,81.0,2021,April
SUMO | ZUMO,['Denzel Curry'],Florida,27.0,81.0,2019,September
CASH MANIAC | CAZH MAN1AC [FEAT. NYYJERYA],"['Denzel Curry', 'Nyyjerya']",Florida,28.0,81.0,2020,October
BLACK BALLOONS | 13LACK 13ALLOONZ [FEAT. TWELVE'LEN & GOLDLINK | TWELVE'LEN + GOLDL1NK],"['Denzel Curry', ""Twelve'len"", 'GoldLink']",Florida,27.0,83.0,2018,June
Dreamin Of The Past (feat. Kanye West),"['Pusha T', 'Kanye West']",Virginia,36.0,-78.0,2011,June
Johnny P's Caddy,"['Benny The Butcher', 'J. Cole']",New York,43.0,-75.0,2020,June
Wow Freestyle (feat. Kendrick Lamar),"['Jay Rock', 'Kendrick Lamar']",California,34.0,-118.0,2018,March
She,['Green Day'],California,37.0,-120.0,1994,May
Welcome to Paradise,['Green Day'],California,37.0,-122.0,1994,September
Father Time (feat. Sampha),"['Kendrick Lamar', 'Sampha']",California,36.0,-119.0,2015,June
Mother I Sober (feat. Beth Gibbons of Portishead),"['Kendrick Lamar', 'Beth Gibbons']",California,0,0,N/A,N/A
Mr. Morale,"['Kendrick Lamar', 'Tanna Leone']",California,34.0,-118.0,2017,April
Silent Hill,"['Kendrick Lamar', 'Kodak Black']",California,33.0,118.0,2011,March
Savior,"['Kendrick Lamar', 'Baby Keem', 'Sam Dew']",California,33.0,-118.0,2011,August
Count Me Out,['Kendrick Lamar'],California,37.0,-120.0,2011,June
Rich - Interlude,['Kendrick Lamar'],California,33.0,-118.0,2012,September
N95,['Kendrick Lamar'],California,37.0,-120.0,2010,September
United In Grief,['Kendrick Lamar'],California,35.0,-119.0,2021,September
Head High,['Joey Bada$$'],New York,40.0,74.0,2013,June
The Heart Part 5,['Kendrick Lamar'],California,34.0,-118.0,2017,March
My Nigga Just Made Bail,"['Bas', 'J. Cole']",New York,40.7128,-74.006,2013,August
Hollandaise,['Ab-Soul'],California,34.0,-118.0,2012,December
Never Been In Love,['Talib Kweli'],New York,40.0,74.0,2015,August
[Admire Her] (with Gunna),"['Bas', 'Gunna']",France,48.0,2.0,'2021','September'
Tha Mobb,['Lil Wayne'],Louisiana,30.0,-91.0,2004,June
Call My Bluff,['Pusha T'],Virginia,37.0,-77.0,2013,July
Compton,"['Kendrick Lamar', 'Dr. Dre']",California,33.0,-118.0,2012,March
"Bitch, Don’t Kill My Vibe",['Kendrick Lamar'],California,33.0,-118.0,2012,March
Backseat Freestyle,['Kendrick Lamar'],California,34.0,118.0,'2012','October'
The Art of Peer Pressure,['Kendrick Lamar'],California,34.0,-118.0,2012,October
How Much A Dollar Cost,"['Kendrick Lamar', 'James Fauntleroy', 'Ronald Isley']",California,34.0,-118.0,2015,August
Hood Politics,['Kendrick Lamar'],California,34.0,-118.0,2014,October
WAIT FOR U (feat. Drake & Tems),"['Future', 'Drake', 'Tems']",Georgia,33.0,-83.0,2021,September
Survival Tactics,"['Joey Bada$$', 'Capital Steez']",New York,40.7128,-74.006,2012,January
World Domination,['Joey Bada$$'],New York,40.0,-74.0,2012,January
Diet Coke,['Pusha T'],Virginia,38.0,-77.0,2011,May
Brambleton,['Pusha T'],Virginia,38.0,77.0,2013,October
Scrape It Off (feat. Lil Uzi Vert & Don Toliver),"['Pusha T', 'Lil Uzi Vert', 'Don Toliver']",Virginia,37.0,-79.0,'2021','July'
Poe Mans Dreams (His Vice) (feat. GLC),"['Kendrick Lamar', 'GLC']",California,33.0,-118.0,2011,October
Chapter Six,['Kendrick Lamar'],California,33.0,-118.0,2011,March
A.D.H.D,['Kendrick Lamar'],California,34.0,118.0,260,-118
Hol' Up,['Kendrick Lamar'],California,34.0,-118.0,2011,March
HUMBLE.,['Kendrick Lamar'],California,34.0,-118.0,2017,April
Guantanamera,['Celia Cruz'],Cuba,21.0,-80.0,'1967','October'
9 5 . s o u t h,['J. Cole'],North Carolina,35.0,79.0,2015,January
a m a r i,['J. Cole'],North Carolina,35.0,-80.0,'2020','July'
Quimbara,"['Johnny Pacheco', 'Celia Cruz']",Dominican Republic,19.0,-70.0,1974,July
Xxplosive,"['Dr. Dre', 'Hittman', 'Six-Two', 'Nate Dogg', 'Kurupt']",California,33.0,-118.0,1999,November
a lot,['21 Savage'],Georgia,33.0,-84.0,2016,December
Love You So,['The King Khan & BBQ Show'],Canada,42.0,83.0,2005,September
La Tortura (feat. Alejandro Sanz),"['Shakira', 'Alejandro Sanz']",Colombia,4.0,-72.0,2005,May
Danza Kuduro,"['Don Omar', 'Lucenzo']",Puerto Rico,18.0,-66.0,2010,August
La Vida Es Un Carnaval,['Celia Cruz'],Cuba,22.0,-80.0,1998,April
Interlude,"['Lil Wayne', 'Tech N9ne']",Louisiana,30.0,-91.0,2006,August
Nosetalgia,"['Pusha T', 'Kendrick Lamar']",Virginia,37.0,77.0,2013,September
Push Thru,"['Talib Kweli', 'Curren$y', 'Kendrick Lamar', 'Glen Reynolds']",New York,42.0,-74.0,2012,August
Vivir Mi Vida,['Marc Anthony'],Puerto Rico,18.0,66.0,2013,July
Sorry 4 The Wait,['Lil Wayne'],Louisiana,29.0,91.0,2011,July
We Set The Trends (feat. Migos & ‎Juelz Santana) - Remix,"['Jim Jones', 'Lil Wayne', 'DJ Khaled', 'Migos', 'Juelz Santana']",New York,40.7128,-74.006,2021,March
First Class,['Jack Harlow'],Kentucky,38.0,-85.0,'2020','January'
Izzo (H.O.V.A.),['JAY-Z'],New York,41.0,-74.0,2001,September
Fire Night,['Ravi Shankar'],India,13.0,77.0,1982,January
Knotty Head,"['Denzel Curry', 'Rick Ross']",Florida,27.0,81.0,2016,June
Hate It Or Love It,"['The Game', '50 Cent']",California,34.0,-118.0,2005,March
Get By,['Talib Kweli'],New York,40.0,73.0,2002,November
Lifestyle (with Bas feat. A$AP Ferg),"['Dreamville', 'Bas', 'A$AP Ferg']",North Carolina,35.0,-80.0,2014,August
Diamonds From Sierra Leone - Remix,"['Kanye West', 'JAY-Z']",Illinois,41.0,-87.0,2005,July
One Day,['Björk'],Iceland,65.0,18.0,1993,August
Dedication To My Ex (Miss That),"['Lloyd', 'André 3000', 'Lil Wayne']",Georgia,33.749,-84.388,2011,September
City of Gods,"['Fivio Foreign', 'Kanye West', 'Alicia Keys']",New York,40.7128,-74.006,2021,March
"Come On, Let's Go (with Nigo)","['Tyler, The Creator', 'Nigo']",California,34.0,118.0,2021,September
Learn to Fly,['Foo Fighters'],Washington,38.0,-77.0,1999,September
Everlong,['Foo Fighters'],Washington,47.0,122.0,'1997','January'
A Life In The Day of Benjamin Andre (Incomplete),['Outkast'],Georgia,33.0,84.0,2003,December
Sixteen,"['Rick Ross', 'André 3000']",Florida,27.0,81.0,2012,July
Miss You - Remastered,['The Rolling Stones'],England,51.0,0.0,1978,May
Where I'm From,['JAY-Z'],New York,40.0,-74.0,1997,November
Your Love,['The Outfield'],England,54.0,2.0,1985,November
Already Gone - 2013 Remaster,['Eagles'],California,33.0,118.0,2013,January
Carry on Wayward Son,['Kansas'],Kansas,38.0,-98.0,1976,August
Changes,"['2Pac', 'Talent']",California,36.0,-119.0,1999,February
You Ain't Know,"['Birdman', 'Lil Wayne']",Louisiana,29.0,91.0,2005,August
Ferrari,"['Anuel AA', 'Lil Wayne']",Puerto Rico,18.0,66.0,2018,July
HYFR (Hell Ya Fucking Right),"['Drake', 'Lil Wayne']",Canada,44.0,-79.0,2012,July
Running Back (feat. Lil Wayne),"['Wale', 'Lil Wayne']",Maryland,39.0,-76.0,2016,September
Swagga Like Us,"['JAY-Z', 'T.I.', 'Kanye West', 'Lil Wayne']",New York,40.0,-74.0,2008,September
genesis.,['Marcellus Juvann'],Florida,30.0,84.0,2021,August
Duffle Bag Boy,"['Playaz Circle', 'Lil Wayne']",Georgia,33.0,-84.0,2007,September
Mercy.1,"['Kanye West', 'Big Sean', 'Pusha T', '2 Chainz']",Illinois,42.0,-88.0,2012,June
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)","['A$AP Rocky', 'Drake', '2 Chainz', 'Kendrick Lamar']",New York,40.0,-74.0,2012,October
4 My Town (Play Ball),"['Birdman', 'Drake', 'Lil Wayne']",Louisiana,30.0,-91.0,2009,June
Shoes,['Lil Wayne'],Louisiana,31.0,-91.0,2008,September
Hope,['XXXTENTACION'],Florida,27.0,81.0,2018,January
Caribou Lou (Album Version (Explicit)),['Tech N9ne'],Missouri,39.0,-92.0,2006,May
Tyler Herro,['Jack Harlow'],Kentucky,38.0,85.0,2020,September
Lo Mein,['Lil Uzi Vert'],Pennsylvania,40.0,-77.0,2020,January
Lord Knows,"['Drake', 'Rick Ross']",Canada,43.0,-79.0,2011,August
Kush & Corinthians (feat. BJ The Chicago Kid),"['Kendrick Lamar', 'BJ The Chicago Kid']",Illinois,41.0,-87.0,2011,August
Tear Gas (feat. Rick Ross & Lil Wayne),"['Conway the Machine', 'Rick Ross', 'Lil Wayne']",New York,42.0,75.0,2020,July
When Sunny Gets Blue,['McCoy Tyner'],Pennsylvania,39.0,-77.0,1967,March
HONEST,['Baby Keem'],California,36.0,-119.0,2021,September
BEST INTEREST,"['Tyler, The Creator']",California,34.0,-118.0,2017,August
Drankin N Smokin,"['Future', 'Lil Uzi Vert']",Georgia,33.0,84.0,2021,January
ZEZE (feat. Travis Scott & Offset),"['Kodak Black', 'Offset', 'Travis Scott']",Florida,27.0,-81.0,2018,October
wokeuplikethis*,"['Playboi Carti', 'Lil Uzi Vert']",Georgia,33.0,83.0,2017,- July
Bad Man (Smooth Criminal),['Polo G'],Illinois,41.0,-88.0,2021,July
Love Is Only a Feeling,['Joey Bada$$'],New York,40.0,-74.0,2012,November
Super Gremlin,['Kodak Black'],Florida,27.0,-81.0,2021,September
Wat's Wrong (feat. Zacari & Kendrick Lamar),"['Isaiah Rashad', 'Zacari', 'Kendrick Lamar']",Tennessee,36.0,-86.0,2016,August
County Building Blues,['Kendrick Lamar'],California,38.0,-120.0,2015,March
P&P 1.5,"['Kendrick Lamar', 'Ab-Soul']",California,34.0,-118.0,2010,September
Magnolia,['Playboi Carti'],Georgia,33.0,83.0,2017,April
No More Parties In LA,['Kanye West'],California,34.0,-118.0,2016,January
Foreign,['Playboi Carti'],Georgia,33.0,84.0,2017,April
Power Tools,['Jack Harlow'],Kentucky,38.0,-85.0,2020,September
Mr. Rager,['Kid Cudi'],Ohio,41.0,82.0,2010,September
Spice Girl,['Aminé'],England,52.0,-1.0,2017,July
All Me,"['Drake', '2 Chainz', 'Big Sean']",Canada,43.0,-79.0,2013,August
R.I.C.O. (feat. Drake),"['Meek Mill', 'Drake']",Pennsylvania,40.8966,-77.8389,2015,June
Drowning (feat. Kodak Black),"['A Boogie Wit da Hoodie', 'Kodak Black']",New York,40.0,-73.0,'2017','March'
Shoota (feat. Lil Uzi Vert),"['Playboi Carti', 'Lil Uzi Vert']",Georgia,33.0,83.0,2018,October
Mona Lisa (feat. Kendrick Lamar),"['Lil Wayne', 'Kendrick Lamar']",Louisiana,31.0,91.0,'2018','November'
Cigarettes,['Juice WRLD'],Illinois,41.0,-87.0,2020,July
Fight the Feeling,"['Mac Miller', 'Kendrick Lamar', 'Iman Omari']",Pennsylvania,40.0,77.0,2011,November
Self Care,['Mac Miller'],Pennsylvania,40.0,-77.0,2018,July
Boredom (feat. Rex Orange County & Anna of the North),"['Tyler, The Creator', 'Rex Orange County', 'Anna of the North']",California,37.0,-120.0,2017,July
Oldie,['Odd Future'],California,34.0,-118.0,2012,August
Pata Pata - Stereo Version,['Miriam Makeba'],South Africa,-30.0,28.0,1967,September
Trophies,"['Young Money', 'Drake']",Louisiana,30.0,91.0,2013,December
The Scenic Route (with Rick Ross & Anderson .Paak),"['Dr. Dre', 'Rick Ross', 'Anderson .Paak']",California,34.0,-118.0,2015,August
The City,"['The Game', 'Kendrick Lamar']",California,34.0,118.0,2011,January
Red Nation,"['The Game', 'Lil Wayne']",California,33.0,-118.0,2011,March
Gospel (with Eminem),"['Dr. Dre', 'Eminem']",California,33.0,-117.0,2001,August
One Way Flight (feat. Freddie Gibbs),"['Benny The Butcher', 'Freddie Gibbs']",New York,42.0,-74.0,2020,August
Nikes On My Feet,['Mac Miller'],Pennsylvania,40.0,-77.0,2010,August
WISS,['Mike Dimes'],Wisconsin,44.0,-89.0,2021,November
vice city,['XXXTENTACION'],Florida,28.0,81.0,2017,August
We Takin' Over,['DJ Khaled'],Florida,25.0,81.0,2007,March
Army Gunz,"['Birdman', 'Lil Wayne']",Louisiana,30.0,91.0,2021,June
Going Bad (feat. Drake),"['Meek Mill', 'Drake']",Pennsylvania,39.0,-77.0,2018,November
The Devil Is A Lie,"['Rick Ross', 'JAY-Z']",Florida,27.0,-81.0,2013,December
Rumba,['TT'],Trinidad and Tobago,10.0,-61.0,2021,January
Illuminate (feat. Kendrick Lamar),"['Ab-Soul', 'Kendrick Lamar']",California,36.0,-119.0,2012,September
COFFIN (feat. Eminem),"['Jessie Reyez', 'Eminem']",Canada,43.0,-79.0,2020,July
A Nightmare to Remember,['Dream Theater'],New York,41.0,74.0,2009,September
Dreams and Nightmares,['Meek Mill'],Pennsylvania,40.0,-77.0,2012,August
Umbrella,"['Rihanna', 'JAY-Z']",Barbados,13.0,59.0,2007,March
3005,['Childish Gambino'],California,36.0,-119.0,2013,December
Collard Greens,"['ScHoolboy Q', 'Kendrick Lamar']",California,34.0,-118.0,2013,August
Budapest,['George Ezra'],United Kingdom,52.0,1.0,2013,June
Can't Feel My Face,['The Weeknd'],Canada,45.0,75.0,2015,August
Send My Love (To Your New Lover),['Adele'],England,51.0,-0.0,2016,May
Dancing On My Own,['Calum Scott'],United Kingdom,51.0,0.0,2016,April
Alaska,['Maggie Rogers'],Maryland,0,0,N/A,N/A
Hello,['Adele'],England,51.0,0.0,2011,January
The Truth,['Nas'],New York,40.0,-74.0,1999,July
simple. (with Ben Beal),"['coldbrew', 'Ben Beal']",New Jersey,40.0,-74.0,2021,September
Champagne Glasses (feat. Freddie Gibbs & Stevie Wonder),"['Cordae', 'Freddie Gibbs', 'Stevie Wonder']",Maryland,39.0458,-76.6413,2021,August
16,['Baby Keem'],California,0,0,N/A,N/A
Neon Guts (feat. Pharrell Williams),"['Lil Uzi Vert', 'Pharrell Williams']",Pennsylvania,40.0,-77.0,2017,August
ARE WE STILL FRIENDS?,"['Tyler, The Creator']",USA/California,33.0,-118.0,2019,July
What Kind of Love,['Childish Gambino'],Georgia,33.0,-84.0,2014,November
Wolves,['Kanye West'],Illinois,41.0,-87.0,2016,November
Vicious,['Baby Keem'],California,34.0,-118.0,2021,September
vent,['Baby Keem'],California,34.0,-118.0,2021,August
lost souls (with Brent Faiyaz),"['Baby Keem', 'Brent Faiyaz']",California,34.0,-118.0,2020,July
family ties (with Kendrick Lamar),"['Baby Keem', 'Kendrick Lamar']",California,36.0,-119.0,2021,August
Underdog,['Alicia Keys'],New York,40.0,74.0,2020,January
Gramercy Park,['Alicia Keys'],New York,40.7128,-74.006,2007,June
Only,"['Nicki Minaj', 'Drake', 'Lil Wayne', 'Chris Brown']",Trinidad and Tobago,10.0,-61.0,'2014','October'
Never Let Me Down,"['Kanye West', 'JAY-Z', 'J. Ivy']",Illinois,41.0,-87.0,2004,September
Black Beatles,"['Rae Sremmurd', 'Gucci Mane']",Mississippi,33.0,-90.0,2016,September
This Could Be Us,['Rae Sremmurd'],Mississippi,32.0,-90.0,2015,January
Photosynthesis,"['Saba', 'Jean Deaux']",Illinois,41.0,87.0,2016,May
Turnin' Me Up,['BJ The Chicago Kid'],Illinois,41.0,87.0,2015,November
Headshots (4r da Locals),['Isaiah Rashad'],Tennessee,35.0,-86.0,2014,February
Scottie Pippens (feat. Freddie Gibbs),"['Curren$y', 'The Alchemist', 'Freddie Gibbs']",Illinois,41.0,87.0,2015,June
Where This Flower Blooms (feat. Frank Ocean),"['Tyler, The Creator', 'Frank Ocean']",California,34.0,-118.0,2017,July
Martin & Gina,['Polo G'],Illinois,38.0,89.0,2020,September
GANG GANG (with Lil Wayne),"['Polo G', 'Lil Wayne']",Illinois,41.0,-87.0,2021,June
Dead Friends,"['Kirk Knight', 'Thundercat', 'Noname']",New York,40.0,-74.0,2018,November
ARE YOU WITH THAT?,['Vince Staples'],California,33.0,-118.0,2021,July
Audiopium,"['Kirk Knight', 'Nyck Caution', 'PRO ERA', 'Joey Bada$$', 'CJ Fly', 'Dessy Hinds', 'Rokamouth', 'Aaron Rose', 'Dirty Sanchez']",New York,40.7128,-74.006,2016,October
LIFE,['Saba'],Illinois,41.0,-87.0,2016,September
From the Garden (feat. Lil Uzi Vert),"['Isaiah Rashad', 'Lil Uzi Vert']",Tennessee,35.0,-87.0,2020,May
Randomly,['LUCKI'],Illinois,41.0,-87.0,2019,September
4 The Betta,['LUCKI'],Illinois,41.8781,-87.6298,2021,November
2055,['Sleepy Hallow'],New York,41.0,-74.0,2020,May
Long Beach,"['Kota the Friend', ""Hello O'shay"", 'Alex Banin']",New York,0,0,N/A,N/A
Stay,['Post Malone'],New York,43.0,-75.0,2018,July
Bad Boyz (feat. Barrington Levy),"['Shyne', 'Barrington Levy']",'Jamaica',0,0,N/A,N/A
Time Ticking,"['Juelz Santana', 'Dave East', 'Bobby Shmurda', 'Rowdy Rebel']",New York,41.0,-74.0,2017,July
What It Feels Like,"['Nipsey Hussle', 'JAY-Z']",California,34.0,-118.0,2013,November
The Story of O.J.,['JAY-Z'],New York,40.0,-74.0,2017,June
Skinny Love,['Bon Iver'],Wisconsin,44.0,-90.0,2007,September
Come On Baby,"['Saigon', 'JAY-Z', 'Swizz Beatz']",Vietnam,10.0,106.0,2004,March
Find a Way,['A Tribe Called Quest'],New York,40.0,-74.0,1998,August
That Way (feat. Jeremih & Rick Ross),"['Wale', 'Jeremih', 'Rick Ross']",Maryland,39.0,77.0,2011,April
"The Good, The Bad, The Ugly (feat. Kanye West) - Explicit Album Version","['Consequence', 'Kanye West']",Illinois,40.0,-89.0,2007,June
Just a Friend,['Biz Markie'],Maryland,39.0,77.0,1989,September
Doomsday,"['MF DOOM', 'Pebbles The Invisible Girl']",United Kingdom,51.5074,-0.1278,2004,June
Dear Summer,"['Memphis Bleek', 'JAY-Z']",New York,40.0,74.0,2005,August
The Light,['Common'],Illinois,41.0,87.0,2000,July
The Corner,"['Common', 'The Last Poets']",Illinois,41.8781,-87.6298,2005,July
Virgo,"['Ludacris', 'Nas', 'Doug E. Fresh']",Georgia,33.0,84.0,2006,September
How To Rob,"['50 Cent', 'The Madd Rapper']",New York,40.0,74.0,1999,October
Down South (feat. Yella Beezy & Maxo Kream),"['Wale', 'Maxo Kream', 'Yella Beezy']",Maryland,0,0,N/A,N/A
Feel Good Inc.,['Gorillaz'],England,51.0,0.0,2005,May
Paralyzer,['Finger Eleven'],Canada,43.0,-79.0,2007,July
Kryptonite,['3 Doors Down'],Mississippi,32.0,-90.0,2000,January
With Arms Wide Open,['Creed'],Florida,27.0,-81.0,2000,August
Lips Of An Angel,['Hinder'],Oklahoma,0,0,N/A,N/A
Addicted,['Saving Abel'],Mississippi,33.0,-90.0,2008,June
All The Same,['Sick Puppies'],Australia,-25.0,135.0,2006,September
Here Without You,['3 Doors Down'],Mississippi,32.0,-90.0,2003,August
No Sleep Till Brooklyn,['Beastie Boys'],New York,40.0,-73.0,1987,April
Californication,['Red Hot Chili Peppers'],California,36.0,-119.0,1999,June
Chasing Pavements,['Adele'],England,51.0,-0.0,2008,January
Royals,['Lorde'],New Zealand,-40.0,175.0,2013,September
Gives You Hell,['The All-American Rejects'],Oklahoma,35.0,-97.0,2008,March
Just Give Me a Reason (feat. Nate Ruess),"['P!nk', 'Nate Ruess']",Pennsylvania,40.0,77.0,2013,March
Kissing My Love,['Bill Withers'],West Virginia,38.0,-81.0,1973,January
PRIDE.,['Kendrick Lamar'],California,34.0,118.0,2017,June
The Masquerade Is Over,"['Nancy Wilson', 'Cannonball Adderley']",Ohio,41.0,82.0,1961,September
Zenith,"['Denzel Curry', 'Joey Bada$$']",Florida,28.0,82.0,2019,February
Life Of The Party (with André 3000),"['Kanye West', 'André 3000']",Illinois,41.0,-87.0,2021,August
You Only Live Twice (with Lil Wayne & Rick Ross),"['Drake', 'Lil Wayne', 'Rick Ross']",Canada,43.0,-79.0,2020,June
Movin' Bass - GTA Remix,"['Rick Ross', 'JAY-Z']",Florida,29.0,-81.0,2014,November
Red Light Green Light,['DaBaby'],North Carolina,35.0,-80.0,2021,June
JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),"['Tyler, The Creator', 'Lil Uzi Vert', 'Pharrell Williams']",California,34.0,-118.0,'2021','July'
Blood On The Leaves,['Kanye West'],Illinois,41.0,-87.0,2013,September
Forbidden Fruit (feat. Kendrick Lamar),"['J. Cole', 'Kendrick Lamar']",North Carolina,35.0,-80.0,2013,July
She Knows (feat. Amber Coffman & Cults),"['J. Cole', 'Cults', 'Amber Coffman']",North Carolina,36.0,79.0,2014,September
Knife Talk (with 21 Savage ft. Project Pat),"['Drake', '21 Savage', 'Project Pat']",Georgia,33.0,83.0,2021,September
Bandit (with YoungBoy Never Broke Again),"['Juice WRLD', 'YoungBoy Never Broke Again']",Illinois,41.0,-87.0,'2019','November'
King Kunta,['Kendrick Lamar'],California,37.0,-120.0,2015,March
